cond	pre.wm.s	post.wm.s	pre.wm.v	post.wm.v
des	18	23	27	24
des	15	17	15	16
des	20	21	25	41
des	15	15	13	17
des	19	24	17	25
des	18	20	21	26
des	16	24	7	3
des	21	21	17	4
des	19	22	17	28
des	20	26	18	18
des	13	26	16	13
des	14	23	12	0
des	15	19	10	2
des	15	16	20	15
des	17	26	7	17
des	20	24	37	47
des	11	26	26	44
des	18	23	6	18
des	23	31	8	19
des	16	24	16	0
des	14	20	16	35
des	21	25	6	17
des	19	21	12	14
des	20	20	29	19
des	19	25	26	42
des	22	24	22	0
des	19	21	37	40
des	18	30	22	19
des	17	21	12	21
des	19	25	0	9
des	26	29	19	33
des	19	23	1	0
des	20	17	0	0
des	16	21	15	14
des	18	21	4	18
des	25	31	13	23
des	19	24	25	30
des	23	28	30	32
des	14	20	15	15
des	19	25	18	20
des	19	22	26	31
des	11	16	29	30
des	22	25	22	14
des	14	20	5	4
des	14	29	9	15
des	17	19	20	23
des	17	22	9	16
des	19	28	10	0
des	22	27	16	22
des	18	26	23	7
des	20	26	14	15
des	15	27	17	34
des	19	29	32	35
des	18	22	21	28
des	14	14	0	0
des	20	21	19	10
des	13	24	12	3
des	13	15	16	29
des	17	25	9	23
des	18	19	8	9
des	21	20	7	8
des	19	22	16	8
des	19	23	22	1
des	16	25	32	16
des	19	25	7	16
des	20	19	15	26
des	15	23	13	12
des	18	16	18	23
des	21	27	15	12
des	20	24	15	13
des	17	19	27	38
des	24	33	37	37
des	18	24	16	3
des	18	21	11	13
des	21	27	17	2
des	21	25	18	8
des	19	24	16	27
des	14	20	15	9
des	18	18	23	17
des	12	29	22	0
des	23	33	25	18
des	16	22	24	24
des	19	26	14	29
des	18	24	10	15
des	24	21	16	15
des	19	29	8	14
des	19	22	9	10
des	15	20	9	14
des	16	21	4	0
des	17	21	8	16
des	16	20	25	27
des	24	29	18	23
des	23	21	6	20
des	19	22	12	5
des	17	28	12	18
des	18	26	11	0
des	18	21	23	35
des	10	11	12	16
des	20	27	45	52
des	16	20	17	36
aer	15	12	0	0
aer	21	12	22	23
aer	18	15	13	22
aer	15	12	23	25
aer	18	21	31	32
aer	17	12	20	17
aer	20	12	34	25
aer	18	21	10	16
aer	19	23	13	8
aer	18	11	22	34
aer	18	23	0	0
aer	12	18	18	31
aer	14	11	8	6
aer	15	19	9	18
aer	20	11	21	33
aer	16	23	19	24
aer	17	11	7	10
aer	25	37	29	0
aer	2	24	13	0
aer	19	24	0	4
aer	18	25	13	13
aer	3	18	28	0
aer	16	22	25	0
aer	17	22	6	0
aer	16	20	13	13
aer	4	29	18	2
aer	19	26	6	0
aer	19	25	12	9
aer	3	29	2	20
aer	22	31	21	16
aer	19	28	22	10
aer	21	26	13	11
aer	2	27	28	30
aer	13	17	16	17
aer	18	25	16	31
aer	17	26	10	20
aer	3	22	13	3
aer	19	20	6	16
aer	18	21	28	29
aer	2	21	4	12
aer	23	32	20	28
aer	16	24	18	16
aer	3	20	19	24
aer	16	22	9	10
aer	22	30	12	33
aer	2	30	8	33
aer	18	25	6	4
aer	20	29	2	19
aer	1	18	19	20
aer	19	27	8	5
aer	21	20	11	0
aer	2	21	0	0
aer	17	20	1	11
aer	17	27	10	10
aer	3	32	14	11
aer	16	28	15	9
aer	13	16	10	11
aer	2	23	8	14
aer	20	25	19	10
aer	24	28	14	33
aer	3	27	15	19
aer	19	22	10	18
aer	14	21	7	16
aer	14	22	13	41
aer	15	22	0	11
aer	18	24	14	37
aer	17	29	35	33
aer	15	18	7	0
aer	16	23	18	30
aer	20	26	5	0
aer	20	30	10	15
aer	21	30	32	37
aer	13	23	15	38
aer	22	28	28	43
aer	16	21	20	26
aer	15	23	0	6
aer	15	17	36	35
aer	13	18	19	35
aer	23	29	14	11
aer	20	27	12	8
aer	14	23	0	0
aer	17	24	7	19
aer	22	27	24	27
aer	13	22	6	15
aer	21	23	23	21
aer	20	32	35	39
aer	14	22	15	20
aer	19	29	13	19
aer	20	26	16	32
aer	21	29	7	14
aer	15	15	0	0
aer	21	31	27	32
aer	17	24	9	14
aer	17	23	2	12
aer	21	30	7	5
aer	17	24	0	0
aer	19	27	16	30
aer	22	31	14	15
aer	23	32	24	25
aer	18	27	11	13
