pid	cond	pre.wm.s1	pre.wm.s2	post.wm.s1	post.wm.s2	pre.wm.v1	pre.wm.v2	post.wm.v1	post.wm.v2
1	des	21	31	25	35	7	1	19	4
2	des	15	26	21	29	0	0	0	0
3	des	18	27	23	31	8	2	3	0
4	des	17	31	18	39	0	0	0	0
5	des	15	26	16	29	26	15	32	20
6	des	17	28	16	28	2	4	0	7
7	des	15	27	16	34	9	11	10	11
8	des	17	27	28	30	16	10	20	13
9	des	20	27	22	39	12	11	4	12
10	des	17	27	14	30	6	6	22	7
11	des	15	24	17	25	11	12	0	13
12	des	22	29	30	29	9	3	19	13
13	des	14	26	17	29	15	14	9	14
14	des	21	31	29	30	23	12	35	16
15	des	18	26	24	32	3	8	20	8
16	des	18	30	19	41	20	12	27	16
17	des	20	32	18	33	26	16	26	16
18	des	16	28	23	25	3	3	11	7
19	des	20	28	24	29	16	8	31	11
20	des	24	33	29	29	53	37	63	38
21	des	17	26	22	26	25	21	7	27
22	des	19	28	27	31	20	17	15	19
23	des	16	21	18	30	5	3	13	12
24	des	16	27	26	29	9	10	19	10
25	des	16	25	23	31	19	14	21	21
26	des	16	25	22	26	10	12	17	14
27	des	19	28	21	33	22	21	21	26
28	des	19	28	17	34	17	13	21	18
29	des	12	24	10	25	2	2	0	14
30	des	19	27	23	28	12	3	22	10
31	des	20	29	19	34	10	7	0	9
32	des	18	24	21	24	0	4	22	8
33	des	19	32	23	32	16	15	24	16
34	des	20	24	20	22	9	6	10	5
35	des	17	23	20	22	8	13	6	14
36	des	19	31	29	34	5	6	10	10
37	des	17	27	18	28	0	0	1	0
38	des	23	30	24	29	22	23	25	32
39	des	17	34	19	40	20	21	36	27
40	des	26	29	33	34	11	11	22	15
41	des	22	25	22	29	9	9	7	8
42	des	21	26	31	30	13	5	15	9
43	des	16	25	18	26	20	15	11	13
44	des	19	32	24	37	22	18	43	16
45	des	20	28	26	33	0	0	20	0
46	des	22	33	24	37	29	24	30	27
47	des	20	27	19	32	2	3	0	3
48	des	17	28	21	28	19	14	18	14
49	des	17	19	22	24	5	3	2	6
50	des	18	22	20	23	0	3	6	2
51	des	23	28	26	30	24	15	26	18
52	des	18	26	20	24	25	17	20	20
53	des	16	27	24	29	0	5	6	11
54	des	19	25	25	25	26	21	34	21
55	des	22	35	22	35	3	1	4	4
56	des	16	26	14	34	0	0	0	0
57	des	18	23	21	26	24	17	26	19
58	des	20	31	23	34	18	9	27	9
59	des	20	28	23	30	17	17	28	19
60	des	14	25	23	26	14	18	13	18
61	des	17	25	20	34	4	8	0	10
62	des	21	32	21	34	8	3	11	10
63	des	17	22	18	32	4	2	0	6
64	des	19	26	30	29	24	19	43	27
65	des	15	22	21	25	10	7	6	7
66	des	14	23	19	24	16	13	3	22
67	des	20	23	22	27	13	8	27	10
68	des	21	31	26	38	17	10	19	10
69	des	17	23	18	30	14	9	11	9
70	des	20	24	26	31	3	4	0	0
71	des	16	29	21	28	28	20	25	21
72	des	18	26	27	34	10	8	18	13
73	des	15	24	19	26	4	7	0	6
74	des	20	23	23	23	6	7	22	5
75	des	21	31	24	36	9	11	9	22
76	des	24	32	26	42	36	26	39	29
77	des	20	25	24	22	17	14	20	15
78	des	21	30	24	34	29	25	24	33
79	des	19	26	26	35	0	0	0	3
80	des	17	29	18	27	2	4	0	2
81	des	17	24	20	30	23	20	0	17
82	des	17	28	18	30	14	12	20	11
83	des	12	22	13	26	2	0	7	5
84	des	20	26	17	28	14	11	26	17
85	des	20	27	21	32	36	24	22	25
86	des	15	24	23	32	2	0	13	7
87	des	15	27	14	35	0	0	0	0
88	des	21	28	26	39	2	0	11	4
89	des	20	31	21	35	0	0	0	0
90	des	15	24	16	31	24	17	39	21
91	des	19	25	21	34	1	1	13	1
92	des	23	33	28	40	2	4	0	9
93	des	19	24	29	31	2	5	0	10
94	des	19	31	24	35	23	16	15	23
95	des	21	31	25	30	11	6	6	6
96	des	16	27	21	29	29	23	44	29
97	des	18	22	29	31	0	0	5	0
98	des	16	24	24	23	15	13	17	13
99	des	18	28	23	26	17	16	39	20
100	des	20	27	24	27	13	8	0	14
101	aer	24	33	27	39	14	10	13	14
102	aer	19	25	29	29	7	5	7	5
103	aer	16	28	20	33	19	15	9	13
104	aer	19	24	28	23	18	11	27	11
105	aer	20	24	27	34	20	13	43	18
106	aer	17	21	25	30	20	11	21	13
107	aer	20	22	21	30	26	14	38	16
108	aer	16	24	26	30	20	12	3	11
109	aer	21	29	33	40	35	26	30	30
110	aer	19	30	26	33	27	19	34	21
111	aer	20	27	25	35	16	13	5	16
112	aer	13	26	22	32	8	3	15	2
113	aer	15	28	20	38	19	15	35	15
114	aer	15	26	23	26	0	0	0	6
115	aer	15	29	25	37	0	2	2	6
116	aer	25	31	29	43	10	2	32	5
117	aer	18	26	31	33	0	0	1	0
118	aer	17	24	26	25	4	5	2	7
119	aer	17	30	20	39	13	12	20	15
120	aer	17	28	22	32	20	15	16	19
121	aer	18	23	22	29	25	16	34	23
122	aer	15	30	21	39	6	3	24	3
123	aer	22	27	31	42	0	0	11	0
124	aer	18	24	24	30	27	19	30	21
125	aer	21	25	28	38	3	1	11	6
126	aer	17	28	21	36	36	26	35	29
127	aer	19	31	24	35	10	9	10	12
128	aer	18	27	20	38	23	17	21	16
129	aer	16	26	25	39	26	20	22	26
130	aer	18	25	28	34	35	24	43	28
131	aer	18	25	26	30	25	23	38	23
132	aer	14	33	22	38	10	5	26	9
133	aer	11	23	20	24	25	21	20	25
134	aer	20	28	26	33	3	5	15	5
135	aer	16	23	28	32	22	19	39	24
136	aer	21	26	21	35	23	16	33	22
137	aer	19	31	29	38	6	5	22	6
138	aer	15	21	22	27	32	20	42	24
139	aer	17	24	23	32	6	7	12	6
140	aer	17	26	23	34	30	23	32	22
141	aer	12	24	23	34	3	1	3	1
142	aer	14	25	14	29	0	0	0	0
143	aer	20	26	27	30	21	14	12	18
144	aer	18	27	23	33	6	2	6	4
145	aer	21	26	28	36	8	8	15	9
146	aer	20	30	31	37	4	0	3	1
147	aer	17	28	25	36	8	4	18	1
148	aer	17	25	27	33	15	20	6	18
149	aer	23	24	30	33	14	11	0	20
150	aer	21	30	30	32	9	12	0	20
151	aer	14	26	20	34	0	0	1	0
152	aer	16	26	24	36	9	6	7	10
153	aer	16	30	22	36	17	12	10	14
154	aer	15	25	30	29	11	8	21	8
155	aer	15	21	22	24	22	20	26	25
156	aer	18	26	24	32	12	7	3	9
157	aer	17	29	24	33	19	13	36	14
158	aer	22	34	27	41	21	14	15	19
159	aer	18	24	27	32	6	10	12	12
160	aer	21	27	30	36	5	1	0	13
161	aer	21	26	29	32	18	16	26	15
162	aer	17	26	21	33	1	2	2	3
163	aer	15	23	22	25	10	6	10	7
164	aer	21	34	30	37	8	8	4	13
165	aer	19	26	29	33	5	4	10	6
166	aer	21	29	33	44	14	11	25	12
167	aer	25	34	34	38	0	0	0	0
168	aer	21	23	27	31	23	10	34	17
169	aer	17	26	23	37	10	7	28	7
170	aer	22	35	28	42	14	6	26	13
171	aer	21	28	28	35	13	4	0	3
172	aer	22	29	27	30	19	5	36	1
173	aer	16	24	27	32	9	1	7	6
174	aer	19	22	24	29	0	1	0	4
175	aer	13	24	25	27	9	6	13	8
176	aer	13	25	21	31	18	17	24	23
177	aer	23	33	23	35	24	17	21	24
178	aer	15	27	20	37	19	15	37	20
179	aer	20	32	28	38	8	7	10	15
180	aer	18	28	21	38	6	6	0	8
181	aer	19	28	25	34	1	0	5	0
182	aer	15	22	20	29	26	16	22	12
183	aer	23	33	31	42	32	23	32	26
184	aer	20	29	28	35	12	9	28	9
185	aer	22	27	30	34	20	19	13	16
186	aer	19	27	27	34	1	0	0	0
187	aer	20	28	26	32	2	3	0	9
188	aer	13	28	23	31	14	14	14	17
189	aer	15	25	20	36	27	21	28	23
190	aer	15	24	23	33	16	12	25	11
191	aer	17	21	22	27	14	11	20	16
192	aer	17	25	25	37	0	4	2	3
193	aer	14	26	21	26	9	8	30	9
194	aer	18	28	23	40	10	4	3	6
195	aer	17	29	20	35	0	0	38	0
196	aer	20	25	30	33	19	13	20	19
197	aer	13	23	23	35	22	16	17	21
198	aer	19	24	26	33	15	9	16	14
199	aer	18	30	31	43	20	9	23	9
200	aer	16	29	20	34	22	16	45	19
