test	memory.verbal	memory.visual	speed.vismotor	speed.general	impulse.control
A	80	74	49	0.51	8
B	84	60	45.5	0.59	8
A	75	84	49.4	0.53	5
B	45	52	36.8	0.71	11
A	99	98	52	0.52	2
B	98	76	45.97	0.53	4
A	100	98	39.03	0.56	1
B	79	79	45.1	0.55	2
A	86	59	43.58	0.52	6
B	82	64	41.65	0.69	6
A	71	86	47.13	0.58	10
B	83	80	46.18	0.57	4
A	92	82	49.72	0.44	13
B	93	79	49.05	0.48	7
A	91	76	47.45	0.49	5
B	96	91	45.28	0.56	4
A	94	88	48.75	0.56	5
B	98	89	40.6	0.58	6
A	100	95	47.7	0.78	0
B	100	92	46.2	0.7	2
A	100	93	37.67	0.56	3
B	99	89	33.15	0.6	2
A	100	92	52.43	0.47	1
B	99	72	42.7	0.56	4
A	98	96	44.08	0.57	3
B	99	80	39.4	0.53	1
A	91	98	49.97	0.46	5
B	75	92	48.55	0.47	17
A	98	91	40.95	0.58	2
B	92	80	35.17	0.67	5
A	72	48	31.73	0.74	2
B	81	64	35.33	0.79	2
A	58	76	33.9	0.6	14
B	60	51	40.17	0.62	3
A	70	84	43.8	0.51	8
B	64	74	40.3	0.65	5
A	100	77	52.6	0.45	3
B	96	78	45.45	0.57	7
A	99	92	53.13	0.51	2
B	96	79	48.85	0.55	1
A	68	50	40.53	0.59	2
B	74	59	42.6	0.59	2
A	77	61	33.15	0.62	7
B	71	78	28.3	0.63	5
A	98	85	51.22	0.41	7
B	98	91	51.35	0.52	5
A	80	67	43.55	0.53	10
B	93	66	48.38	0.51	17
A	99	96	54.13	0.43	3
B	98	91	52.33	0.5	2
A	93	91	51.47	0.52	3
B	99	90	46.88	0.5	1
A	100	86	52.38	0.56	4
B	100	82	51.95	0.66	2
A	95	70	51.5	0.51	5
B	84	70	51.33	0.44	2
A	91	56	36.03	0.61	2
B	55	59	34.85	0.68	3
A	67	74	33.55	0.53	8
B	80	59	41.25	0.59	4
A	84	80	47.83	0.58	7
B	89	77	46.5	0.71	6
A	89	99	51.13	0.49	2
B	87	94	51.83	0.5	1
A	94	82	43	0.48	13
B	99	76	44.6	0.56	3
A	100	95	48.1	0.47	5
B	93	86	43.33	0.52	2
A	100	99	44.08	0.48	2
B	100	93	47.28	0.53	1
A	87	78	44.85	0.49	7
B	85	84	44.2	0.71	3
A	100	86	52.43	0.5	2
B	100	80	47.55	0.61	1
A	96	85	52.18	0.48	3
B	93	88	51.78	0.5	7
A	93	67	47.35	0.57	4
B	99	85	48.2	0.62	5
A	89	89	35.48	0.48	6
B	90	83	43.38	0.48	8
