Date,Adj Close
31.03.1993,1.14
01.04.1993,1.16
03.05.1993,1.44
01.06.1993,1.47
01.07.1993,1.43
02.08.1993,1.46
01.09.1993,1.65
01.10.1993,1.61
01.11.1993,1.34
01.12.1993,1.34
03.01.1994,1.44
01.02.1994,1.4
01.03.1994,1.46
04.04.1994,1.79
02.05.1994,1.71
01.06.1994,1.52
01.07.1994,1.74
01.08.1994,1.7
01.09.1994,1.39
03.10.1994,1.63
01.11.1994,1.61
01.12.1994,1.65
03.01.1995,1.44
01.02.1995,1.43
01.03.1995,1.44
03.04.1995,1.41
01.05.1995,1.75
01.06.1995,2.14
03.07.1995,2.25
01.08.1995,2.4
01.09.1995,2.28
02.10.1995,2.36
01.11.1995,2.54
01.12.1995,2.52
02.01.1996,2.01
01.02.1996,2.12
01.03.1996,2.8
01.04.1996,3.26
01.05.1996,3.26
03.06.1996,3.4
01.07.1996,3.13
01.08.1996,3.94
03.09.1996,3.97
01.10.1996,3.91
01.11.1996,4.16
02.12.1996,3.44
02.01.1997,4.12
03.02.1997,4.04
03.03.1997,3.56
01.04.1997,3.59
01.05.1997,3.79
02.06.1997,4.68
01.07.1997,4.92
01.08.1997,4.93
02.09.1997,5.03
01.10.1997,3.97
03.11.1997,4.19
01.12.1997,4.61
02.01.1998,4.39
02.02.1998,4.76
02.03.1998,5.45
01.04.1998,5.79
01.05.1998,5.77
01.06.1998,6.42
01.07.1998,5.03
03.08.1998,3.79
01.09.1998,4.35
01.10.1998,5.21
02.11.1998,5.55
01.12.1998,6.75
04.01.1999,6.26
01.02.1999,6.36
01.03.1999,6.75
01.04.1999,8.88
03.05.1999,8.87
01.06.1999,9.03
01.07.1999,5.59
02.08.1999,5.5
01.09.1999,5.96
01.10.1999,6.54
01.11.1999,6.39
01.12.1999,5.83
03.01.2000,7.69
01.02.2000,8.45
01.03.2000,10.77
03.04.2000,7.27
01.05.2000,8.17
01.06.2000,9.18
03.07.2000,9.02
01.08.2000,8.81
01.09.2000,9.63
02.10.2000,10.74
01.11.2000,10.95
01.12.2000,10.64
02.01.2001,12.01
01.02.2001,11.45
01.03.2001,10.2
02.04.2001,9.3
01.05.2001,9.39
01.06.2001,11.06
02.07.2001,8.67
01.08.2001,8.11
04.09.2001,7.18
01.10.2001,8.23
01.11.2001,8.52
03.12.2001,9.16
02.01.2002,11.43
04.02.2002,11.06
01.03.2002,11.12
01.04.2002,10.97
01.05.2002,11.67
03.06.2002,11.95
01.07.2002,9.44
01.08.2002,9.66
03.09.2002,9.93
01.10.2002,11.46
01.11.2002,10.45
02.12.2002,9.8
02.01.2003,10.92
03.02.2003,11.28
03.03.2003,12.39
01.04.2003,11.3
01.05.2003,11.86
02.06.2003,11.8
01.07.2003,13.14
01.08.2003,13.65
02.09.2003,13.85
01.10.2003,15.19
03.11.2003,15.47
01.12.2003,15.94
02.01.2004,17.6
02.02.2004,17.98
01.03.2004,18.21
01.04.2004,18.71
03.05.2004,19.52
01.06.2004,20.91
01.07.2004,22.59
02.08.2004,20.79
01.09.2004,21.86
01.10.2004,25.43
01.11.2004,27.05
01.12.2004,29.98
03.01.2005,25.96
01.02.2005,24.91
01.03.2005,24.84
01.04.2005,23.81
02.05.2005,26.34
01.06.2005,24.84
01.07.2005,25.27
01.08.2005,23.58
01.09.2005,24.09
03.10.2005,27.2
01.11.2005,29.28
01.12.2005,28.86
03.01.2006,30.48
01.02.2006,34.93
01.03.2006,36.19
03.04.2006,35.84
01.05.2006,34.28
01.06.2006,36.31
03.07.2006,32.92
01.08.2006,29.82
01.09.2006,32.74
02.10.2006,36.3
01.11.2006,33.94
01.12.2006,34.06
03.01.2007,33.6
01.02.2007,29.72
01.03.2007,30.16
02.04.2007,29.83
01.05.2007,27.71
01.06.2007,25.23
02.07.2007,25.66
01.08.2007,26.49
04.09.2007,25.2
01.10.2007,25.66
01.11.2007,22.49
03.12.2007,19.69
02.01.2008,18.19
01.02.2008,17.29
03.03.2008,16.83
